"private_key","username","display_name","about","picture_url","banner_url","nip05"
3fec18a9e196fd3a6417b45fad7005edb23d8529cb41d8ac738cfdd7d2b75677,"lee","Lee David","Treasurer, Water Well","https://marketplace.canva.com/EAFEits4-uw/1/0/1600w/canva-boy-cartoon-gamer-animated-twitch-profile-photo-oEqs2yqaL8s.jpg","https://coinstr.app/coinstr.png","lee@waterwell.ngo"
7a38e12cbf7fa007d9c09d853f8aba0542aa4a9c7572d7497a9e7abb325b2af9,"sarah","Sarah Johnson","Chairperson, Water Well","https://writestylesonline.com/wp-content/uploads/2019/01/What-To-Wear-For-Your-Professional-Profile-Picture-or-Headshot.jpg","https://coinstr.app/coinstr.png","sarah@waterwell.ngo"
d599da2113d1c5ac7ad24a190884cd19a90c5fc45d90d446273647b2224f30f2,"john","John Chen","Vice Chairperson, Water Well","https://img.freepik.com/premium-vector/profile-icon-male-avatar-hipster-man-wear-headphones_48369-8728.jpg","https://coinstr.app/coinstr.png","john@waterwell.ngo"
39ff7e0bfac074d44464a567567b7665e3a7df3080a1be351e0182dfdfeef739,"maria","Maria Rodriguez","Secretary, Water Well","https://pixlr.com/studio/template/6264364c-b8cc-4f4f-92d8-28c69a2b756w/thumbnail.webp","https://coinstr.app/coinstr.png","maria@waterwell.ngo"
6a1d1acbccf3d91bea112320757b712284f148392c5b01c22dd5dcdd62fbe15c,"rachel","Rachel Smith","Program Director, Water Well","https://waterwell.ngo/profiles/rachel.png","https://coinstr.app/coinstr.png","rachel@waterwell.ngo"
f876935391d3e57801d9a0db024c83deaae1757977159ce47a115d423db07cf1,"james","James Thompson","Outreach Director, Water Well","https://waterwell.ngo/profiles/james.png","https://coinstr.app/coinstr.png","james@waterwell.ngo"
c5e855ec0723cade84920b0e8c30b287330e9d228519acd3ea0e0017f99bb1ec,"karen","Dr Karen Patel","Board Member, Water Well","https://waterwell.ngo/profiles/karen.png","https://coinstr.app/coinstr.png","karen@waterwell.ngo"
5e6c9d26c38792e5120ddd29e288b2000ebd1d1dc58930e106ec7d0f66ada045,"mark","Mark Johnson","Board Member, Water Well","https://waterwell.ngo/profiles/mark.png","https://coinstr.app/coinstr.png","mark@waterwell.ngo"
3b063870fea5e6f0956d2de645afb817568d07d137b16d13b538686bb1e23f63,"amanda","Amanda Wong","Board Member, Water Well","https://waterwell.ngo/profiles/amanda.png","https://coinstr.app/coinstr.png","amanda@waterwell.ngo"
0d9b3eff1a2b28b41128ec8bad1f60caa74b2834b3f135464d2faf0a1d6ea0ca,"trey","Trey Smith","Waterwell Board and Family Man","https://image.shutterstock.com/image-photo/stock-photo-head-shot-young-attractive-businessman-in-glasses-standing-in-modern-office-pose-for-camera-250nw-1854697390.jpg","https://coinstr.app/coinstr.png","trey@imported.skin"
